Date,Department,Service_Type,Application,Region,Usage_Hours,Cost_INR
2026-01-01,Traffic,Compute,Traffic Signal AI,India-North,222,4038
2026-01-01,Surveillance,Database,Surveillance DB,India-East,203,3130
2026-01-01,Healthcare,Storage,Patient Data Backup,India-West,337,1805
2026-01-01,Water,Storage,Water Records Backup,India-East,270,2184
2026-01-01,Transport,Networking,Transport Sensors,India-West,168,1374
2026-01-02,Traffic,Storage,Traffic Data Logs,India-West,300,1831
2026-01-02,Healthcare,Compute,Medical Imaging AI,India-South,190,3446
2026-01-02,Water,Compute,Water Demand AI,India-North,157,3187
2026-01-02,Transport,Compute,Route AI,India-West,148,4169
2026-01-02,Electricity,Compute,Smart Grid AI,India-East,231,4190
2026-01-03,Transport,Storage,Transport Data Backup,India-East,289,1719
2026-01-03,Healthcare,Storage,Health Backup,India-North,297,1455
2026-01-03,Water,Storage,Water Records Backup,India-East,411,1201
2026-01-03,Traffic,Storage,Signal Data Backup,India-West,355,1702
2026-01-03,Surveillance,Storage,CCTV Footage Storage,India-East,299,2025
2026-01-04,Water,Networking,Water Sensors,India-East,160,1056
2026-01-04,Traffic,Database,Traffic Analytics DB,India-South,268,3838
2026-01-04,Healthcare,Compute,Health AI,India-East,147,4295
2026-01-05,Surveillance,Compute,AI Monitoring,India-South,245,3030
2026-01-05,Electricity,Storage,Energy Data Archive,India-East,384,1200
2026-01-05,Transport,Networking,Transport Sensors,India-South,167,1402
2026-01-05,Traffic,Database,Signal Records DB,India-East,216,3098
2026-01-05,Healthcare,Networking,Hospital Network,India-West,154,1512
2026-01-06,Water,Database,Water DB,India-South,194,3170
2026-01-06,Traffic,Compute,Traffic Signal AI,India-East,143,3284
2026-01-06,Transport,Database,Fleet Management DB,India-West,206,3392
2026-01-06,Surveillance,Database,Surveillance DB,India-West,221,3891
2026-01-06,Electricity,Compute,Grid Compute,India-North,235,3542
2026-01-07,Surveillance,Database,CCTV Analytics DB,India-East,245,3681
2026-01-07,Traffic,Compute,Traffic Prediction AI,India-South,145,3595
2026-01-07,Water,Networking,Water Sensors,India-East,149,1230
2026-01-08,Healthcare,Compute,Health AI,India-North,201,3432
2026-01-08,Transport,Networking,Bus Tracking System,India-South,122,1258
2026-01-08,Surveillance,Storage,CCTV Storage,India-North,386,1317
2026-01-08,Water,Compute,Water Demand AI,India-North,245,3483
2026-01-09,Traffic,Compute,Traffic Prediction AI,India-East,209,4239
2026-01-09,Electricity,Storage,Energy Data Archive,India-South,378,2153
2026-01-09,Surveillance,Database,CCTV Analytics DB,India-North,235,3080
2026-01-09,Healthcare,Compute,Diagnostics AI,India-East,151,4333
2026-01-09,Transport,Database,Fleet Management DB,India-West,181,3219
2026-01-10,Surveillance,Database,CCTV Analytics DB,India-East,248,3883
2026-01-10,Traffic,Storage,Signal Data Backup,India-West,388,1751
2026-01-10,Transport,Networking,Bus Tracking System,India-South,178,1225
2026-01-10,Healthcare,Networking,Health IoT Sensors,India-North,139,1302
2026-01-10,Water,Storage,Water Data Logs,India-North,396,2171
2026-01-11,Traffic,Compute,Traffic AI,India-North,148,4056
2026-01-11,Transport,Compute,Route AI,India-West,151,3252
2026-01-11,Healthcare,Networking,Health IoT Sensors,India-North,176,1372
2026-01-11,Surveillance,Storage,Video Storage,India-North,291,1262
2026-01-11,Water,Networking,Water Sensors,India-West,179,901
2026-01-12,Traffic,Compute,Traffic AI,India-South,211,4243
2026-01-12,Transport,Storage,Fleet Data Logs,India-East,361,1509
2026-01-12,Surveillance,Compute,AI Monitoring,India-South,232,3713
2026-01-12,Electricity,Networking,Grid Sensors,India-West,185,1062
2026-01-12,Healthcare,Networking,Health IoT Sensors,India-South,152,1479
2026-01-13,Traffic,Database,Signal Records DB,India-North,201,3749
2026-01-13,Water,Storage,Water Records Backup,India-West,358,1562
2026-01-13,Surveillance,Compute,Face Recognition AI,India-East,215,3754
2026-01-14,Transport,Compute,Route AI,India-North,203,4304
2026-01-14,Electricity,Compute,Smart Grid Analysis,India-East,158,4339
2026-01-14,Traffic,Database,Signal Records DB,India-South,196,3171
2026-01-14,Surveillance,Networking,CCTV Stream Network,India-South,165,1272
2026-01-15,Traffic,Database,Signal Records DB,India-West,204,3734
2026-01-15,Healthcare,Compute,Health AI,India-West,192,3406
2026-01-15,Surveillance,Database,CCTV Analytics DB,India-South,242,3252
2026-01-15,Transport,Compute,Route AI,India-North,172,4079
2026-01-16,Healthcare,Compute,Health AI,India-South,182,3045
2026-01-16,Electricity,Networking,Smart Meter Network,India-South,161,1437
2026-01-16,Traffic,Storage,Signal Data Backup,India-North,335,1961
2026-01-16,Transport,Database,Fleet Management DB,India-West,181,3985
2026-01-17,Water,Storage,Water Data Logs,India-South,285,1684
2026-01-17,Healthcare,Networking,Health IoT Sensors,India-East,135,1553
2026-01-17,Transport,Networking,Bus Network,India-North,134,991
2026-01-17,Electricity,Storage,Grid Logs Backup,India-East,335,1050
2026-01-17,Traffic,Compute,Traffic Prediction AI,India-North,201,3948
2026-01-18,Water,Storage,Water Records Backup,India-North,303,2002
2026-01-18,Electricity,Networking,Smart Meter Network,India-South,127,952
2026-01-18,Traffic,Networking,Traffic Communication,India-North,187,1249
2026-01-18,Transport,Database,Fleet Management DB,India-North,219,3819
2026-01-19,Transport,Database,Fleet Management DB,India-East,180,3057
2026-01-19,Water,Compute,Leak Detection AI,India-North,158,4427
2026-01-19,Traffic,Storage,Traffic Data Logs,India-West,366,1790
2026-01-20,Healthcare,Networking,Health IoT Sensors,India-East,120,1171
2026-01-20,Water,Compute,Water Demand AI,India-East,202,3380
2026-01-20,Transport,Storage,Transport Data Backup,India-North,325,1153
2026-01-20,Electricity,Networking,Smart Meter Network,India-South,176,1184
2026-01-21,Healthcare,Storage,Health Backup,India-East,393,1217
2026-01-21,Surveillance,Storage,CCTV Storage,India-South,288,1356
2026-01-21,Traffic,Database,Signal Records DB,India-West,248,3099
2026-01-21,Water,Storage,Water Records Backup,India-North,387,1761
2026-01-22,Traffic,Compute,Traffic Prediction AI,India-North,183,3084
2026-01-22,Electricity,Database,Energy Usage DB,India-East,246,3576
2026-01-22,Healthcare,Networking,Hospital Network,India-East,199,1157
2026-01-22,Water,Compute,Leak Detection AI,India-East,171,4298
2026-01-22,Transport,Networking,Transport Sensors,India-North,152,1590
2026-01-23,Healthcare,Database,Smart Health Records,India-South,269,3775
2026-01-23,Transport,Compute,Route Optimization AI,India-West,229,3821
2026-01-23,Water,Storage,Water Data Logs,India-South,384,1825
2026-01-24,Electricity,Networking,Smart Meter Network,India-South,155,1293
2026-01-24,Healthcare,Compute,Health AI,India-East,203,3538
2026-01-24,Traffic,Compute,Traffic AI,India-East,175,3777
2026-01-25,Surveillance,Compute,AI Monitoring,India-South,238,3672
2026-01-25,Water,Storage,Water Data Logs,India-South,311,1595
2026-01-25,Traffic,Networking,Traffic Communication,India-West,132,1598
2026-01-26,Electricity,Compute,Smart Grid Analysis,India-North,155,3368
2026-01-26,Transport,Database,Transport Analytics DB,India-South,231,3890
2026-01-26,Water,Storage,Water Data Logs,India-East,301,1850
2026-01-26,Surveillance,Database,CCTV Analytics DB,India-South,250,3795
2026-01-26,Healthcare,Storage,Patient Backup,India-East,366,2092
2026-01-27,Water,Storage,Water Data Logs,India-West,382,2186
2026-01-27,Traffic,Database,Traffic Analytics DB,India-North,254,3657
2026-01-27,Electricity,Database,Energy DB,India-South,253,3953
2026-01-27,Surveillance,Networking,Surveillance Network,India-South,126,1073
2026-01-27,Healthcare,Compute,Diagnostics AI,India-South,189,3594
2026-01-28,Traffic,Networking,Traffic Monitoring,India-North,193,1430
2026-01-28,Electricity,Networking,Grid Sensors,India-West,150,1344
2026-01-28,Healthcare,Compute,Medical Imaging AI,India-North,228,4124
2026-01-28,Water,Database,Water Monitoring System,India-South,265,3499
2026-01-29,Transport,Networking,Transport Sensors,India-West,139,1375
2026-01-29,Surveillance,Networking,Surveillance Network,India-North,158,900
2026-01-29,Electricity,Database,Energy Usage DB,India-East,241,3504
2026-01-29,Traffic,Database,Signal Records DB,India-South,204,3823
2026-01-29,Water,Compute,Leak Detection AI,India-South,145,2857
2026-01-30,Electricity,Storage,Energy Data Archive,India-North,413,1046
2026-01-30,Surveillance,Compute,Face Recognition AI,India-West,154,4238
2026-01-30,Traffic,Compute,Traffic Signal AI,India-West,142,3455
2026-01-31,Water,Database,Water Monitoring System,India-South,212,3723
2026-01-31,Electricity,Networking,Smart Meter Network,India-South,183,1401
2026-01-31,Healthcare,Networking,Hospital Network,India-West,195,1307
2026-01-31,Transport,Networking,Bus Tracking System,India-East,155,989
2026-01-31,Surveillance,Networking,CCTV Stream Network,India-East,169,1439
2026-02-01,Water,Compute,Leak Detection AI,India-West,208,3281
